	Seqs	Plate	Pos	Plate	Colunm	Row	PlatePos	ID	Compartment	Specie	Subsample	Specie	Complexity	Nroot	Plant
P02.bc57	4868	P2	bc57	2	8	A	A8	R161	Root	Lemna_Minor_8389	1	LM8389	5	1	161
P03.bc1	48476	P2	bc1	3	1	A	A1	R163	Root	Lemna_Minor_8389	2	LM8389	5	1	163
P02.bc82	2463	P2	bc82	2	11	B	B11	R164	Root	Lemna_Minor_8389	3	LM8389	5	1	164
P01.bc45	14499	P1	bc45	1	6	E	E6	R165	Root	Lemna_Minor_8389	4	LM8389	5	1	165
P01.bc40	31428	P1	bc40	1	5	H	H5	R166	Root	Lemna_Yungensis_5280	1	LY5280	7	1	166
P02.bc29	3006	P2	bc29	2	4	E	E4	R167	Root	Lemna_Yungensis_5280	2	LY5280	7	1	167
P02.bc25	8062	P2	bc25	2	4	A	A4	R168	Root	Lemna_Yungensis_5280	3	LY5280	8	1	168
P01.bc67	44	P1	bc67	1	9	C	C9	R169	Root	Lemna_Yungensis_5280	4	LY5280	8	1	169
P03.bc68	1598	P2	bc68	3	9	D	D9	R170	Root	Lemna_Yungensis_5280	5	LY5280	8	1	170
P03.bc69	25779	P2	bc69	3	9	E	E9	R171	Root	Lemna_Valdiviana_7650	1	LV7650	6	1	171
P02.bc42	527	P2	bc42	2	6	B	B6	R172	Root	Lemna_Valdiviana_7650	2	LV7650	6	1	172
P01.bc35	23666	P1	bc35	1	5	C	C5	R173	Root	Lemna_Valdiviana_7650	3	LV7650	6	1	173
P02.bc73	7379	P2	bc73	2	10	A	A10	R174	Root	Lemna_Valdiviana_7650	4	LV7650	6	1	174
P01.bc30	19899	P1	bc30	1	4	F	F4	R175	Root	Lemna_Valdiviana_7650	5	LV7650	6	1	175
P02.bc62	4069	P2	bc62	2	8	F	F8	R176	Root	Lemna_Minuta_7200	1	LM7200	6	1	176
P01.bc48	369	P1	bc48	1	6	H	H6	R177	Root	Lemna_Minuta_7200	2	LM7200	8	1	177
P01.bc79	20351	P1	bc79	1	10	G	G10	R178	Root	Lemna_Minuta_7200	3	LM7200	6	1	178
P01.bc54	24638	P1	bc54	1	7	F	F7	R180	Root	Lemna_Minuta_7200	4	LM7200	6	1	180
P03.bc15	11401	P2	bc15	3	2	G	G2	R181	Root	Lemna_Aequinoctialis_7339	1	LA7339	5	2	181
P03.bc2	25019	P2	bc2	3	1	B	B1	R182	Root	Lemna_Aequinoctialis_7339	2	LA7339	5	3	182
P02.bc93	2458	P2	bc93	2	12	E	E12	R183	Root	Lemna_Aequinoctialis_7339	3	LA7339	5	1	183
P03.bc56	25658	P2	bc56	3	7	H	H7	R184	Root	Lemna_Aequinoctialis_7339	4	LA7339	5	3	184
P03.bc3	41169	P2	bc3	3	1	C	C1	R185	Root	Lemna_Aequinoctialis_7339	5	LA7339	5	1	185
P03.bc94	39260	P2	bc94	3	12	F	F12	R186	Root	Lemna_Perpusilla_8539	1	LP8539	5	1	186
P01.bc77	19975	P1	bc77	1	10	E	E10	R187	Root	Lemna_Perpusilla_8539	2	LP8539	5	1	187
P02.bc49	7807	P2	bc49	2	7	A	A7	R188	Root	Lemna_Perpusilla_8539	4	LP8539	5	1	188
P03.bc62	19548	P2	bc62	3	8	F	F8	R189	Root	Lemna_Perpusilla_8539	3	LP8539	5	1	189
P03.bc9	30056	P2	bc9	3	2	A	A2	R190	Root	Lemna_Perpusilla_8539	5	LP8539	5	1	190
P02.bc64	3276	P2	bc64	2	8	H	H8	R191	Root	Lemna_Tenera_9243	1	LT9243	6	1	191
P01.bc13	24005	P1	bc13	1	2	E	E2	R192	Root	Lemna_Tenera_9243	2	LT9243	7	1	192
P03.bc82	29968	P2	bc82	3	11	B	B11	R193	Root	Lemna_Tenera_9243	3	LT9243	7	1	193
P03.bc66	17847	P2	bc66	3	9	B	B9	R194	Root	Lemna_Tenera_9243	4	LT9243	5	1	194
P03.bc92	12647	P2	bc92	3	12	D	D12	R196	Root	Pistia_Stratiotes	1	PS	8	5	196
P01.bc6	7408	P1	bc6	1	1	F	F1	R197	Root	Pistia_Stratiotes	2	PS	8	9	197
P02.bc58	6686	P2	bc58	2	8	B	B8	R198	Root	Pistia_Stratiotes	3	PS	9	5	198
P01.bc87	14790	P1	bc87	1	11	G	G11	R199	Root	Pistia_Stratiotes	4	PS	8	5	199
P01.bc12	10818	P1	bc12	1	2	D	D2	R200	Root	Pistia_Stratiotes	5	PS	9	5	200
P02.bc35	2150	P2	bc35	2	5	C	C5	W101	Water	Control	1	Control	6	Control	101
P03.bc88	22226	P2	bc88	3	11	H	H11	W102	Water	Control	2	Control	7	Control	102
P03.bc36	17304	P2	bc36	3	5	D	D5	W103	Water	Control	3	Control	7	Control	103
P02.bc92	2406	P2	bc92	2	12	D	D12	W104	Water	Control	4	Control	7	Control	104
P01.bc42	25324	P1	bc42	1	6	B	B6	W105	Water	Control	5	Control	7	Control	105
P03.bc71	29025	P2	bc71	3	9	G	G9	W106	Water	Spirodela_Intermedia_7820	1	SI7820	7	3.5	106
P01.bc61	109	P1	bc61	1	8	E	E8	W107	Water	Spirodela_Intermedia_7820	2	SI7820	8	3.6	107
P03.bc28	31643	P2	bc28	3	4	D	D4	W108	Water	Spirodela_Intermedia_7820	3	SI7820	8	2	108
P01.bc31	35678	P1	bc31	1	4	G	G4	W109	Water	Spirodela_Intermedia_7820	4	SI7820	7	3	109
P03.bc7	42641	P2	bc7	3	1	G	G1	W110	Water	Spirodela_Intermedia_7820	5	SI7820	8	2	110
P01.bc50	23621	P1	bc50	1	7	B	B7	W112	Water	Spirodela_Intermedia_9227	1	SI9227	7	3	112
P03.bc35	45792	P2	bc35	3	5	C	C5	W113	Water	Spirodela_Intermedia_9227	2	SI9227	7	1.866666667	113
P01.bc26	9243	P1	bc26	1	4	B	B4	W114	Water	Spirodela_Intermedia_9227	3	SI9227	7	2.25	114
P02.bc68	1428	P2	bc68	2	9	D	D9	W115	Water	Spirodela_Intermedia_9227	4	SI9227	7	4.6	115
P03.bc80	23180	P2	bc80	3	10	H	H10	W116	Water	Spirodela_polyrhiza_9509	1	SP9509	7	2.666666667	116
P02.bc59	3684	P2	bc59	2	8	C	C8	W117	Water	Spirodela_polyrhiza_9509	2	SP9509	7	4.75	117
P03.bc58	39712	P2	bc58	3	8	B	B8	W118	Water	Spirodela_polyrhiza_9509	3	SP9509	6	4.2	118
P03.bc5	28460	P2	bc5	3	1	E	E1	W119	Water	Spirodela_polyrhiza_9509	4	SP9509	7	2.5	119
P02.bc50	1280	P2	bc50	2	7	B	B7	W120	Water	Spirodela_polyrhiza_9509	5	SP9509	6	3.25	120
P02.bc7	4990	P2	bc7	2	1	G	G1	W122	Water	Spirodela_polyrhiza_5543	1	SP5543	7	3	122
P01.bc72	1375	P1	bc72	1	9	H	H9	W123	Water	Spirodela_polyrhiza_5543	2	SP5543	7	2.2	123
P02.bc32	7660	P2	bc32	2	4	H	H4	W124	Water	Spirodela_polyrhiza_5543	3	SP5543	7	3.4	124
P01.bc62	317	P1	bc62	1	8	F	F8	W125	Water	Spirodela_polyrhiza_5543	4	SP5543	7	3	125
P03.bc95	38577	P2	bc95	3	12	G	G12	W126	Water	Spirodela_polyrhiza_7498	1	SP7498	8	4.333333333	126
P01.bc28	32363	P1	bc28	1	4	D	D4	W127	Water	Spirodela_polyrhiza_7498	2	SP7498	7	2.2	127
P02.bc87	2972	P2	bc87	2	11	G	G11	W128	Water	Spirodela_polyrhiza_7498	3	SP7498	7	2	128
P03.bc32	58882	P2	bc32	3	4	H	H4	W129	Water	Spirodela_polyrhiza_7498	4	SP7498	6	2.5	129
P03.bc64	34943	P2	bc64	3	8	H	H8	W130	Water	Spirodela_polyrhiza_7498	5	SP7498	7	1	130
P03.bc74	33778	P2	bc74	3	10	B	B10	W131	Water	Spirodela_polyrhiza_9192	1	SP9192	8	2.666666667	131
P03.bc93	37525	P2	bc93	3	12	E	E12	W132	Water	Spirodela_polyrhiza_9192	2	SP9192	5	2.5	132
P01.bc89	80216	P1	bc89	1	12	A	A12	W133	Water	Spirodela_polyrhiza_9192	3	SP9192	6	2.875	133
P01.bc24	1535	P1	bc24	1	3	H	H3	W135	Water	Spirodela_polyrhiza_9192	4	SP9192	6	2.666666667	135
P03.bc40	42403	P2	bc40	3	5	H	H5	W136	Water	Londoltia_Punctata_7760	1	LP7760	6	1.666666667	136
P03.bc21	33915	P2	bc21	3	3	E	E3	W137	Water	Londoltia_Punctata_7760	2	LP7760	6	3.666666667	137
P02.bc2	5483	P2	bc2	2	1	B	B1	W138	Water	Londoltia_Punctata_7760	3	LP7760	5	1	138
